status,member.id,member.name,member.photo.thumb,rsvp.response,rsvp.guests
attended,237020186,YUGGVREKBA,https://secure.meetupstatic.com/photos/member/e/0/c/d/thumb_270837549.jpeg,yes,0
attended,4217905,MRPNUFYMJA,https://secure.meetupstatic.com/photos/member/9/b/3/thumb_267302483.jpeg,yes,0
attended,102621842,MJVEKKPPNG,https://secure.meetupstatic.com/photos/member/6/e/f/e/thumb_268348414.jpeg,NA,NA
attended,145318822,QOKYZQVPAN,https://secure.meetupstatic.com/photos/member/e/a/1/c/thumb_205259932.jpeg,yes,0
attended,226696098,TCOXJSHAVH,NA,yes,0
attended,100906302,QBBEFGJRZD,https://secure.meetupstatic.com/photos/member/8/e/7/3/thumb_270876467.jpeg,yes,0
attended,62266452,DFQLIEPQVP,https://secure.meetupstatic.com/photos/member/2/e/0/6/thumb_72431782.jpeg,yes,0
attended,3990602,XBPGWXWBWX,https://secure.meetupstatic.com/photos/member/8/2/2/2/thumb_4113314.jpeg,yes,0
attended,146455442,RZUOIQUIVS,https://secure.meetupstatic.com/photos/member/d/3/d/8/thumb_202494232.jpeg,yes,0
attended,78315282,EXBRXTEUNW,https://secure.meetupstatic.com/photos/member/b/5/a/6/thumb_94426502.jpeg,yes,0
absent,184332629,NDBCLHKQUI,https://secure.meetupstatic.com/photos/member/9/0/5/c/thumb_247896956.jpeg,yes,0
